comune,provincia,nome,zona,locatita,sito_arche,categoria,identificatore,latitudine,longitudine,sup,alt_min,alt_max,alt_media,acqua,nuraghe_costiero,categ_acqua
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1000,40.640252000000004,8.30797,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1001,40.641216,8.312872,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1002,40.651965999999994,8.313069,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1003,40.649432,8.319236,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1005,40.643113,8.317458,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1006,40.642204,8.321766,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1007,40.638913,8.319574000000001,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1008,40.636609,8.323971,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1009,40.630168,8.301934,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1010,40.628608,8.314536,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1011,40.621901,8.326267999999999,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1012,40.606266999999995,8.330107,225.3958,0,436,218.0,False,True,costa
ALGHERO,SASSARI,,Nurra,,Nuraghe,Nuraghe,NUR1013,40.603404,8.32001,225.3958,0,436,218.0,False,True,costa
